,name,merchant,price,url,description,image
22,BCBGeneration Double Breasted Long Vest,BCBGeneration,64.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13812069513&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZDM4172794-977.html,BCBGeneration Double Breasted Long Vest,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw5e819cdb/images/large/ZDM4172794_977.jpg?sw=500&sh=791&sm=fit
23,BCBGeneration Surplice Knit Crop Top,BCBGeneration,20.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078206&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FYDM1169934-501.html,BCBGeneration Surplice Knit Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw0accec67/images/large/YDM1169934_501.jpg?sw=500&sh=791&sm=fit
24,BCBGeneration Surplice Knit Crop Top,BCBGeneration,20.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078204&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FYDM1169934-501.html,BCBGeneration Surplice Knit Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw0accec67/images/large/YDM1169934_501.jpg?sw=500&sh=791&sm=fit
25,BCBGeneration One Shoulder Asymmetric Ruffle Top,BCBGeneration,39.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078180&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FWQO1169654-001.html,BCBGeneration One Shoulder Asymmetric Ruffle Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwe4b890d9/images/large/WQO1169654_001.jpg?sw=500&sh=791&sm=fit
26,BCBGeneration Graphic Floral Robe Jacket,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13984239407&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZOI4169949-977.html,BCBGeneration Graphic Floral Robe Jacket,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwfdfdf78e/images/large/ZOI4169949_977.jpg?sw=500&sh=791&sm=fit
27,BCBGeneration Back Lace-Up Legging,BCBGeneration,29.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13439825582&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FBGEN1001-041.html,BCBGeneration Back Lace-Up Legging,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw7132d28d/images/large/BGEN1001_041.jpg?sw=500&sh=791&sm=fit
28,BCBGeneration Long Sleeve Ruffle Shirt,BCBGeneration,49.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13426989552&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FTNW16A87-110.html,BCBGeneration Long Sleeve Ruffle Shirt,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwae85c81f/images/large/TNW16A87_110.jpg?sw=500&sh=791&sm=fit
29,BCBGeneration Faux Shearling Long Vest,BCBGeneration,69.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13627213628&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZNW4196073-900.html,BCBGeneration Faux Shearling Long Vest,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw541bcec3/images/large/ZNW4196073_900.jpg?sw=500&sh=791&sm=fit
30,BCBGeneration Metallic Knit Peplum Jacket,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13682078196&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZSG4169941-001.html,BCBGeneration Metallic Knit Peplum Jacket,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw04d1bddb/images/large/ZSG4169941_001.jpg?sw=500&sh=791&sm=fit
31,BCBGeneration Plaid Ruffle Shirt,BCBGeneration,49.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.13420100733&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FDPA16A87-T6N.html,BCBGeneration Plaid Ruffle Shirt,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwe2ee2709/images/large/DPA16A87_T6N.jpg?sw=500&sh=791&sm=fit
